Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
10/10/2020,-72.874488,42.6275354,Charlemont,MA,USA,Light,"one red light fading in and out, then 3/4 other red lights started twinkling around the central bright light.",,
4/21/1956,-87.6244212,41.8755616,Chicago,IL,USA,Other,It was was a light!,,
4/14/1961,-82.9503983,39.9753607,Columbus,OH,USA,Triangle,4 hover lights in sky!,,
9/4/2008,-122.3774952,47.8105738,Edmonds,WA,USA,Formation,Observed 3 lights in formation in night sky with 2 fading out and one accelerating out of sight.,,
7/8/2023,-82.5926012,28.902479,Crystal River,FL,USA,Fireball,Three objects appeared one at a time and traveled rapidly towards our location before vanishing.,,
4/18/1978,-114.3996983,44.259098,Clayton,ID,USA,Light,"Flashing stationary white, blue, and red light in western sky",,
3/25/2001,-87.6244212,41.8755616,Chicago,IL,USA,Chevron,CHEVRON CRAFTS RACE OVER CHICAGO SUNDAY 3-25-01,,
4/15/2010,-97.4649038,35.6571367,Edmond,OK,USA,Oval,Underwater Light appeared shot up out of a lake and hovered then disappeared.,,
9/4/1974,-76.8582049,39.2156213,Columbia,MD,USA,Disk,"I rented a row boat, my Fraternity Brother, my Girlfriend, and another girl were in the boat. We were on the lake, about in the middle.",,
4/24/2022,-78.9018053,35.996653,Durham,NC,USA,Light,Two green one white light seen over South Square.,,
7/4/2009,-116.962526,32.7947731,El Cajon,CA,USA,Light,three red lights in triangle formation,,
4/18/1975,-85.3094883,35.0457219,Chattanooga,TN,USA,Oval,White/blue sphere with an orange glow and a jet steam of smoke and blue flame.,,
4/10/1942,-93.6249494,41.5868654,Des Moines,IA,USA,Orb,Came out on my deck and before me in the sky were approximately 8-10 orange orbs moving in a SW to NE arc. This grouping was followed b,,
7/19/2020,-81.6965168,40.9700549,Doylestown,OH,USA,Oval,"Bright, Pink light in the sky that disappeared.",,
10/4/2023,-77.0502898,38.8579043,Arlington,VA,USA,Light,Three lights appeared moving in the sky then dissappeared,Y,
10/19/2021,-81.556235,41.5200518,Cleveland Heights,OH,USA,Changing,Details can be seen for yourself. I recorded the incident as I was sitting on my porch. If you go to Facebook or YouTube... You can see,,
10/2/2009,-83.4148895,36.0153693,Dandridge,TN,USA,Disk,"fleet of triangle lights moving sw over dandridge, tn",,
4/8/1972,-117.084195,32.6400541,Chula Vista,CA,USA,Triangle,Fast West to East moving equilateral triangle with three white lights one on each point.,,
1/22/2005,-113.061827,37.6774238,Cedar City,UT,USA,Other,"3 of us photographed multiple red, blue, green white obj.s in night sky for about 2 hrs then toward the W a huge moon-like object.",,
4/11/1959,-80.0728201,26.4614625,Delray Beach,FL,USA,Sphere,Globe shaped object flashing lights at random another blue light behind Stationary,,
6/3/2001,-104.984862,39.7392364,Denver,CO,USA,Disk,"A Very Descriptive, Multi-Ship, Broad Daylight Observation in Denver in 2001",,
4/28/1954,-80.1789351,26.2517482,Coconut Creek,FL,USA,Light,"Very white, bright circular light, perfectly still. Approximately 40-50 feet in the air. Lasted 45 minutes and suddenly vanished.",,
1/23/2022,-80.8430827,35.2272086,Charlotte,NC,USA,Disk,Saw a floating disk with a light and aura out of my plane window. ((NUFORC Note: Possibly a reflection of reading lights? PD)),Y,
2/25/2018,-88.1761521,39.4961458,Charleston,IL,USA,Rectangle,"Silver rectangle UFO over Charleston, IL.",,
4/22/1941,-97.4649038,35.6571367,Edmond,OK,USA,Fireball,Red and orange pulsing light flying in odd way.,,
2/11/2003,-88.0102281,41.7936822,Downers Grove,IL,USA,Other,two different dark color objects flying from west to north east of downers grove no lights no sound,,
4/20/1932,-123.2048168,46.1036879,Clatskanie,OR,USA,Orb,Large light ball with orbs attached to it.,,
4/7/2027,-89.0693988,42.8334758,Edgerton,WI,USA,Orb,"5-6 Orange Orbs over Rock River in Edgerton, WI",,
6/27/2019,-84.1850615,39.7665973,Dayton,OH,USA,Light,5 bright flashing lights in the clouds with no known origin and in the same spots. Lasted at least 2 hours,,
11/5/2021,-84.5124602,39.1014537,Cincinnati,OH,USA,Triangle,V shaped aircraft traveling north,Y,
1/18/2022,-84.7336278,31.1712947,Colquitt,GA,USA,Circle,I can only see it on camera not in person.,Y,
6/8/2022,-87.6244212,41.8755616,Chicago,IL,USA,Other,"Weird objects surrounding this kid, he walks every morning, he said God, and the ufo started to pick up 2017, The Other God.Traimon T B",Y,
9/19/2005,-80.8430827,35.2272086,Charlotte,NC,USA,Fireball,I was outside when these big fireballs came neer my house i took out my shot gun and shot at them they came back and shot theyr guns at,,
4/30/2023,-71.535978,43.204381,Concord,NH,USA,Oval,Looked up after grabing a soda from my car,Y,
6/28/1999,-104.825348,38.8339578,Colorado Springs,CO,USA,Triangle,craft was seen hovering 100ft above the ground at the southeast corner of Powers and Platte at 9PM on 6/28/99 for about 20 seconds nort,,
