City,State,Country,Occurred,Lon,Lat,Shape,Summary,Media,Explanation
Riley,OR,USA,4/22/19714/5/20216/17/2020,0.0,0.0,LightFireballChevron,"Saw several lights, doing various things like strobing, moving, disappearing after one slow flash, splitting, and a swoop.We were traveling from Riley Or. to Bend Or., mile 70 aprox. ,whe this fire balls showed in the middle of the storm, but the most amaziStopped near reservoir and saw three silver objects flying in formation. We first thought they were drones but they disappeared.",0,0
Riley County,KS,USA,1/6/2000,0.0,0.0,Teardrop,Saw 2 craft white in color. 5 small jets were circling crafts. saw third craft half hour later. one jet following aircraft.,0,0
Rileyville,PA,USA,4/19/2000,0.0,0.0,Fireball,Three fireballs flew over.,0,0
Rim Rock,AZ,USA,7/12/2000,0.0,0.0,Circle,"Date: Wednesday, July 12, 2000 10:39 PM",0,0
Rimersburg,PA,USA,12/20/20056/21/2005,0.0,0.0,ChangingCircle,it was tringular had three lkights 2 green 1 red the turn into a round shape and was red then stoped and was yelloWas pulseing red and bright yellow colors from big to little.,0,0
Rimini,SC,USA,3/24/1942,0.0,0.0,Disk,"ONE NIGHT BACK IN 1988 OF OCTOBER MY SON AND I WAS LEAVIN MY PARENTS HOUSE.IT WAS AFTER 11:00ONE NIGHT, AS WE WERE GETTIN IN MY CAR I",0,0
Rimrock,AZ,USA,1/4/20072/7/2020,0.0,0.0,OtherLight,"IT WAS AMBER IN COLOR WAS FIRST IN AN S SHAPE POINTING DOWN (VERTICLE)THEN WENT UP INTO A HORIZONAL POSITION SIMILAR TO SANTAS SLEIGH 1Several lights moving in unison. could be one large craft. not planes. ((""Starlink"" satellites??))",0,0
Rimrock,CA,USA,6/1/2004,0.0,0.0,Other,Three objects appeared in the sky,0,0
Rimrock Lake,WA,USA,7/18/1998,0.0,0.0,Formation,witnessed 3 pink lights travel in a cluster from north to south at satellite altitude. they moved slowly in a straight line for approx,0,0
Rinard,IL,USA,3/15/2006,0.0,0.0,Light,two rows of amber-orange lights in sky,0,0
Rincon,GA,USA,4/11/20208/4/20014/9/20104/18/2009,0.0,0.0,CylinderDiskTriangleTriangle,"We saw 2 cylindrical objects move through the sky in an odd manner. It could not have been a plane or a comet.Bright yellowish disk objectA large, black boomerang shaped air craft (no engine noise) with 3 light yellow lights, was hovering over Southern Rincon 3 to 5 minutSmall triangular shaped object making extremely sharp turns at a great speed. ((NUFORC Note: Student report. PD))",0,0
Rincon (Puerto Rico),PR,USA,3/4/20213/25/2008,0.0,0.0,CircleLight,"Two bright object, one in pursuit of the otherTwo bright fast moving objects seen off the west coast of Puerto Rico",0,0
RincÃ³n (Puerto Rico),PR,USA,6/15/1996,0.0,0.0,Disk,Very close sighting around children in a driveway Summer 1996 . Some adults witnessed the craft flying away,0,0
Rindge,NH,USA,10/17/2020,0.0,0.0,Other,Moving light in sky emitting bursts with solid-like ogtagon shape.,0,0
Rineyville,KY,USA,4/15/19506/19/2008,0.0,0.0,CircleTriangle,"Large black circles were found on the grass in our back yards.Triangle in shape,spotted at about 10:30,lights were blue,object moved at moderate speed",0,0
Ringgold,FL,USA,4/21/2001,0.0,0.0,Circle,IT WUS A GREEN LICHT GOING DOWN RELL FAST MY DAD SAID IT WUS A PLANE BUT A PLANE DONT FLY DOWN LIKE THAT THEN IT TOKE OF RELL FAST AND,0,0
Ringgold,GA,USA,4/18/20234/19/19874/17/19608/15/20004/17/19604/1/19844/1/19843/12/19977/16/199510/2/199711/17/199911/18/19951/8/2008,0.0,0.0,SphereLightOtherTriangleOtherRectangleRectangleTriangleTriangleCircleCircleChevronFormation,"While sitting on deck observed round light that separated into two lights then back into one, picture taken shows separation of light .Green Light in the Sky.Straight line of blinking lights moving west over north Georgia.Unusual aircraft spotted near Ringgold, Ga...what was it???Object slowing moving East to West, 7 white lights in a straight line, No Sound.i know it was not an airplane or military craft it had no soundsi know it was not an airplane or military craft it had no soundsBright light that seemed to follow me, then a triangle shape that appeared above the trees.traingle shaped object with 3 lights(ones at each corner)hovering very lowMy mother and I were driving down Alabama Hwy When a round silver shiny object appeared in My driver side window. It stayed right BesidIN TRUE EAST SKY, ROUND OBJECT HOVERING WITH LIGHTS IN WHITE,BLUE,GREEN AND REDDISH ORANGE. THIS IS THE 4TH SIGHTING OF THIS OBJECT INOn Saturday evening just after dark on November 18, 1995 an arrowhead-shaped ufo was spotted to the east approx. 100 yrds. from Davis RSMALL CHROME OR SILVER (VERY SHINY) OBJECTS (10-16) FLYING IN V FORMATION, NORTH GA.",0,0
Ringgold,LA,USA,10/10/2021,0.0,0.0,Triangle,"Triangle shape with a light on each corner, one spotlight on me, hovering with no sound bigger than a car slow moving.",Y,0
Ringgold,VA,USA,10/8/2003,0.0,0.0,Triangle,object was huge triangle that moved silently and could see it's 3d shape.,0,0
Ringoes,NJ,USA,4/18/1974,0.0,0.0,Sphere,"Saturday night 8:20 pm August 23, 2014. Objects align & coming from E to W dir. Neshanic Station, Flemigton, Ringoes, NJ.",0,0
Ringold,LA,USA,2/2/1985,0.0,0.0,Light,As a young boy at church summer camp my friend and I were sitting on the steps of the main dining hall talking. I looked up in the sky,0,0
Ringold,OH,USA,11/15/2001,0.0,0.0,Formation,"A formation of amber-colored lights sighted multiple times along St. Rt. 188 near Ringold, Ohio",0,0
Ringtown (2 mi.outstde),PA,USA,9/27/1995,0.0,0.0,Teardrop,"while driving ,noticed an object in clear night sky ,seemed to be comming in my direction",0,0
Ringwood,IL,USA,6/15/2000,0.0,0.0,Light,We witnessed 4 swirling balls of light that met in the night sky and dropped a shaft of light to the ground,0,0
Ringwood,NJ,USA,8/19/20083/29/20213/1/19917/1/1965,0.0,0.0,LightLightCigarDisk,"Object in sky brightened then dissapearedMultiple objects witnessed,changed speed and direction, lights changed color and intensityDaylight sighting of cigar-shaped objectDaylight sighting of silent hovering disc over Wanaque reservoir",0,0
Rio,WI,USA,11/24/2019,0.0,0.0,Light,I saw a straight line of about 40 lights in the sky with another light shadowing them. ((NUFORC Note: Starlink satellites? PD)),0,0
Rio,WV,USA,4/9/1965,0.0,0.0,Flash,Strange flash of light once every four minutes in distant space west of orions belt,0,0
Rio Arriba County,NM,USA,4/16/2020,0.0,0.0,Orb,Quick history: 8 Years Military Army Medical Officer to rank of Captain; Vietnam vet w/bronze star-- 4 year degree in Biology Univ of C,0,0
Rio Chama,NM,USA,4/12/1999,0.0,0.0,Light,"Saw light high in sky, proceeded to jump to about 5 different locations then left light trail as it went north.",0,0
Rio Del Mar,CA,USA,4/19/20083/8/1934,0.0,0.0,TriangleTriangle,"Flashing Objects hovering over the ocean near Santa Cruz, CA.Approx 1984 during a winter month, I was driving NE on Rio Del Mar Blvd in Rio Del Mar CA (Aptos, Santa Cruz County) with 3 housemates.",0,0
Rio Dell,CA,USA,4/20/20056/22/2023,0.0,0.0,FireballCross,"Orange ball of light/fire seen on North Coast; not Identified.Looked like someone cut the night sky open with a knife,it cut strait up closed and then outward then a bright light hole opened",0,0
Rio Grande,NJ,USA,9/6/2018,0.0,0.0,Light,"Sitting in my backyard,facing South. I saw a white dot approach from S.W.direction, straightening out and heading North for a bit.Then",0,0
Rio Grande (Puerto Rico),PR,USA,5/15/20087/17/20065/1/2002,0.0,0.0,OtherLightDiamond,"Like a Jet EngineSTRANGE LIGHT THAT MADE MY LIFE, AND WORLD TO LOOK DIFERENT TO MY EYES.We were driving in fron of el yunque rain forest in Puerto Rico when suddenly a ufo came out of the forest.It had a very shining light",0,0
Rio Grande (PuertoRico),PR,USA,3/15/1964,0.0,0.0,Other,Me and a friend were fishing land crabs we saw two old men come out off bamboo stand when we got to were they were something took off.,0,0
Rio Grande City,TX,USA,10/5/2003,0.0,0.0,Cigar,"Large cigar object floats and disappears over texas brushland, all in five seconds",0,0
Rio Hondo,TX,USA,4/19/202912/25/20044/13/2012,0.0,0.0,LightCircleOval,"Light in sky seen in Rio Hondo, Texas, came towards vehicle, stopped in the air, then turned around and disappeared.two large Circle indentation in ground left at sceneOne dark oval shaped object with green lights Rio hondo tx",0,0
Rio Linda,CA,USA,4/3/19634/4/19642/6/20204/16/1984,0.0,0.0,FireballCylinderCircleCircle,"orangeish red & it moved like no other flying object right admist the fireworks and in front of every one who looked at it ,very real.I saw the cylinder shaped looked like a spaceship hovring above the east side of the Air Force base. Saw it for about 30 seconds and raBlack bell shaped UFO and a black circle UFO stood 5 hours or more couple miles into sky the closest I have ever seen it that's so far.7 orange lights apperaing, moving in a formation across the sky, then 2 more lights appearing.",0,0
Rio Medina,TX,USA,7/21/2020,0.0,0.0,Disk,Disk-Shaped Object hovers at high distance for 12 minutes.,0,0
Rio Oso,CA,USA,2/25/2001,0.0,0.0,Triangle,I saw a bright triangluar object that split into two objects and went in opposite directions.,0,0
Rio Piedras,PR,USA,12/19/1999,0.0,0.0,Rectangle,A huge rectangular craft with metal ibeams containg a yellow cylinder I was on the roof of my house about to clean the leaves wh,0,0
Rio Piedras (Puerto Rico),PR,USA,6/1/19736/1/1972,0.0,0.0,OvalDisk,"Was already dark at 6pm; asking a girl for a date in the company of another friend, in the middle of the street, like an instict I lookIt was when I was 6 years old and I remember like it was yesterday. I was at home with my mother and my 5 yo brother. I know I was 6 yo",0,0
Rio Ranchi,NM,USA,6/18/2003,0.0,0.0,Disk,Hovering ship 15 feet above headand missing time - propulsion of ship gave off no heat,0,0
Rio Rancho,CA,USA,4/9/2000,0.0,0.0,Fireball,I was walking out of the Target on 528 (Rio Rancho Blvd) and looked up and eastern to the stars towards the Big Dipper and to the left,0,0
Rio Rancho,NM,USA,4/15/19392/25/20226/23/20209/10/20194/9/20014/18/19954/17/19414/24/20024/15/19974/2/194012/16/20191/23/20004/15/19974/27/20206/1/20027/21/20191/13/19996/5/20237/24/20034/11/20072/27/20202/18/202210/1/199810/12/200810/1/20064/17/20297/29/20194/17/19536/1/19914/9/19454/10/19694/2/20024/22/20204/23/200012/24/20232/18/202211/3/20224/25/19944/22/19814/29/19794/12/197511/11/20214/11/19744/10/2022,0.0,0.0,CircleChangingRectangleOrbCircleCircleOvalLightOtherFireballTriangleSphereTriangleFireballLightOvalCircleCigarLightLightLightChangingFireballDiskOvalCigarOvalOvalDiskCircleDiskLightOtherFlashCircleChangingOvalLightOrbOtherOtherChangingConeLight,"Bright white, round object in eastern sky seen from church doorway.My daughter (27 years old) was looking out the living room window and said â€œare you seeing this shitâ€. I then looked out and saw themNight out in the jacuzzi, saw a triangle shape object with 7 to 9 very dim yellowish lightsAt about 10:30 p.m. we we're outside in my garage playing pool, and noticed the sound of a military helicopter, which isn't very abnormRio Rancho, New Mexico UFO spotted on Christmas EveCircular shape became visible around 7:15 Mountain time and was pure white and as time went by it became a dark brilliant red almost liMy daughter and I were driving home from picking up dinner when suddenly an oval bright blue tinged light appeared in the sky to our riWhite light moving steady at a low altitude with no noise.Unidentified foreign obeject was seen flying over New MexicoA fireball in the skyTriangle UFO seen over Rio Rancho Residential Area (NM528)Black object hanging in the sky possible cause of geese flock disappearanceMy daughter and I saw a triangular shape object with blue, then green, lights over some housing in Rio Rancho, NM.The mysterious sound and wake of an explosion in Rio Rancho.Bright green light hovering in front of Sandia mountains, in the northern end of the sandias. After about a minute of hovering, the ligFor 30 min, early morning, two people saw an oval light about 30 ft wide, circling, and shinning down through a sparse cloud cover.Driving east from Rio Rancho into Albuquerque on Paseo Del Norte, I viewed a perfectly lit circle above the Sandia Mountains. The circChromish object from south to southwestHovering bright light fades in and out.Bright light - thought at first to be a star traveled horizontal approximately 10 seconds then turned upward towards the sky and withinFast lights spottedStarted out with two lights then separated out into multiple lights. Video has been cleaned by pro, results remarkable.Sighted during the major meteor shower last year.The UFO was a sacer shaped, silver object.From inside my home I witnessed an oval shaped green light travel low and slow from my window. It was completely silent.Cigar shaped craft traveling much faster than any aircraft I have seen before. No contrail.I was letting my dogs out at 12 midnight and I stood outside shocked. I saw this object with bright light moving very, very fast. I knoCircular, metallic silver/white object in sky; Rio Rancho, NM.This picture was at first thought and taken as a spiritual vision re: Virgin Mary. A closer look (rotated)reveals that it may be a UFCircle of light drops from the night sky toward earth then disappearsThree disk appear in a photograph taken at a party with over 30 people.It covered half the sky in just three seconds, stopped, did a half circle and faded to nothing.Flash of white like a fireball and caused other lights to flash.Two events seconds apart at right angles from each other - flashed across the sky.Huge tail coming of object traveling south in the skySent to Linda Moulton Howe, she can't IDSaw an oval shape w/ bright lights floating approx 40,000feet in the air. It faded away in an unnatural way. Got some picturesBlue lights flying across the Albuquerque night sky every 5 mins around 12AMTonight I saw two green orbs chasing each other through the clouds. They would catch up to each other as they were racing CCW.We were returning entering the gate to our farm. There was a shoe shaped craft hovering low. We are researching ufo and alien life for5 glowing lights following eachother and disappearWitnessed bright object high in sky that changed colors randomly.The Ufo was next to the moon it was Bright. it was not red it was a white light.At 9:50 PM i was heading home from a park near Riverview Drive. As I was leaving the park, turning West, I noticed a red light in the W",YYYY,Rocket
Rio Rancho/Bernillo (between),NM,USA,8/15/1999,0.0,0.0,Other,my mom and i were driving home from work we saw the sky lite up almost like day light a few seconds later we saw this trail like thing,0,0
Rio Rico,AZ,USA,8/7/201910/8/20191/28/20094/13/20204/16/20279/7/20064/5/20295/17/2018,0.0,0.0,FormationCylinderCigarFormationLightFireballCircleDisk,"5 red orange flashing orbs descending in size.there were 3 cylinder almost round shapes one on NE, SE, and W, they where somewhat bright slow the one on the NE was slow fading towaru.f.o's in rio rico AZSeries of lights identified in Santa Cruz County Arizona.Lights in the sky.5 flashing bright orange fireballs appear over Rio Rico Az, 7 minutes later 8 sporadic flashing light appear over Amado Az.UFO spotted in Rio Rico AZA huge band of slightly rectangular lights appx 300degrees NW sky appeared out of thin air and looked extremely CLOSE!",0,0
Rio Verde,AZ,USA,5/2/20244/13/1999,0.0,0.0,OrbCircle,Large orb like luminous mist moved across the skyRed flashing light the size of a star zig zagging in the sky for 15 minutes before disappearing.,0,Rocket
Rio Vista,CA,USA,9/4/20214/23/20159/3/2009,0.0,0.0,DiamondFireballCigar,It was about 1 in the afternoon going through Taco Bell looking up over Dodge dealership and seeing 7 tiny diamond shaped objects at fiSeen at the Sherman Isand launch ramp by all boaters. ((NUFORC Note: U. S. Navy missile launch. PD))Military Cloaks Plane,0,0
Ripley,MI,USA,2/20/2020,0.0,0.0,Changing,My friend snowboarding Mont Ripley Ski Resort on 2/20/2020. Did not see anything in the skies while taking pictures and snowboarding.,0,0
Ripley,MS,USA,1/25/1998,0.0,0.0,Light,Looked like a star then started moving slowly. After a few minutes it streaked off as if it where the speed of light.,0,0
Ripley,NY,USA,10/10/2004,0.0,0.0,Circle,7 red/orange stationary objects appeared over Lake Erie on 10/10/04 for 15 minutes and then all disappeared at once.,0,0
Ripley,OH,USA,6/6/20084/11/2027,0.0,0.0,LightLight,"Large bright light, no sound in the shape of a circle, with bright white halo,moving west to eastBright light moving accross the night sky.",0,0
Ripley,TN,USA,4/11/201210/22/19991/22/20204/17/1981,0.0,0.0,TriangleRectangleLightTriangle,"Saw triangle shape, 3 dim lights, moving very fast,no sound, visable only with aidâ€¦Saw large rectangular object apparently cloaking itself in Tn. in 1990Blue-green light in east sky moving in patternSuccession of triangular craft, emitting flashing white and red light, and silent.",0,0
Ripley,WV,USA,2/25/2005,0.0,0.0,Circle,A round shiney object that was slower than a helicopter and like a ballon.,0,0
Ripon,CA,USA,4/4/19654/23/20241/22/20202/1/200210/12/20044/8/1946,0.0,0.0,TriangleFlashCigarTriangleOtherChevron,"Object observed over orchard North of Ripon, CA.Large dome of green light, no trails, no visible singular location of the light.We were traveling south on highway 99 passing through Ripon, CA . I was looking at the clouds against the beautiful color of blue sky.Unidentified dark triangular object stationary in the sky over Ripon, CA.Looking up in Nother sky at 12:06am 10-12-04 I by myself seen a boomerang shaped object heading west. It passed over 90 dgrees in 4-5 slarge V shaped craft.",0,0
Ripon,WI,USA,6/30/2003,0.0,0.0,Circle,"Strange object sat still in sky for 45 minutes like a star, then very quickly passed over me.",0,0
Rippon,WV,USA,5/1/2002,0.0,0.0,Other,"Round gold object with white ""wings"" near Rippon, West Virginia.",0,0
Ririe,ID,USA,3/5/20203/26/20208/16/2021,0.0,0.0,LightCircleSphere,"A line of lights each one following the other perfectly spaced apart. ((Starlink satellites?))About 120 or so round lights, flying north East, toward Jackson hole Wyoming. ((Starlink satellites))UFO Sighting Report â€“ Monday, August 16, 2010 Commencing 03:15 MDT My brother and I planned a two-day fly fishing float trip down the",0,0
Rising Fawn,GA,USA,2/6/202311/28/20064/9/20288/17/2022,0.0,0.0,FormationCircleSphereDiamond,"Seen large group of silver translucent shapes2 round, green lights ""falling"" toward the horizon visible for about 5-10 secondsUFO sighting for 14 nights in a row.Lightning strike off in distance. Craft was low to the ground hovering over a power line. Four lights undercarriage and no sound.",YY,0
Rising Star,TX,USA,4/2/1933,0.0,0.0,Light,"Strange lights appeared in the sky near Rising Star,Texas",0,0
Rising Sun,IN,USA,4/10/19858/10/2002,0.0,0.0,LightLight,UFO by AntaresThree star color dots move across the sky in a perfect tryangle.Later that night two of the same kind dance in the sky.,0,0
Rising Sun,MD,USA,4/20/20192/15/20044/29/194710/8/20034/6/20053/31/1959,0.0,0.0,OtherSphereLightOtherLightSphere,"Trapezoid shaped object with 4 lights, 1 flashing, and no sound.Bright white sphere on Sylmar RoadI observed a stationary series of lights in the sky for 20 mins, before it faded away.A cluster of lights, then suddenly a head light moving slowly and lower. No landing gear rounded shape. No sound.AT NIGHT 5 OR 6 LIGHTS FORMED A CIRCLE, DESENDED, THAN LIGHTS WENT OUTThese were four brightly luminous objects observed in the broad daylight. They were lined up in a row-vertically. They were all spher",0,0
Ritter,OR,USA,6/1/1970,0.0,0.0,Disk,I was on a fishing trip with a friend . It was getting dark and we were looking upat the sky with my bionacers when i notched two white,0,0
Rittman,OH,USA,2/8/20054/14/19824/15/19584/15/1957,0.0,0.0,OtherLightLightLight,vertical lights like a bar code in the sky in few places but not close togetherExtremely bright large oval7 streaks of light in the sky. ((NUFORC Note: Photo shows six contrails in the evening sky. PD))Fast moving white light.,0,0
Ritzville,WA,USA,2/19/20204/20/19706/15/19484/25/19744/21/19774/16/1973,0.0,0.0,FormationLightLightChangingDiskCone,"String of 40-50 lights observed traveling west to east in the early morning sky. ((""Starlink"" satellites??))7+ Ultra bright irregular blue light flashes.By car to Prescott, AZ. We were crossing a desert (I can still see the whole picture) when to our R, we saw a light rise.2 crafts one heading north the other heading from north to south west while changing shapeLarge disc-shaped craft seen from aircraft near Ritzville, Wa.'cone-shaped mystery near Orion.",0,0
